TOUR CRIETERIA,NAME OF THE TOUR,OTHER,REVIEWS,LINKS
Circuits,Weshoot Paris Photo Sessions,Circuits photographiques,66,https://www.tripadvisor.fr/Attraction_Review-g187147-d7317510-Reviews-Weshoot_Paris_Photo_Sessions-Paris_Ile_de_France.html
Circuits,Paris Trip,Visites culturelles,445,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038980-Reviews-Paris_Trip-Paris_Ile_de_France.html
Circuits,Chic Shopping Paris Day Tours,Circuits shopping,81,https://www.tripadvisor.fr/Attraction_Review-g187147-d3160916-Reviews-Chic_Shopping_Paris_Day_Tours-Paris_Ile_de_France.html
Circuits,Ornicom,"Visites guidées, Visites en Segway",57,https://www.tripadvisor.fr/Attraction_Review-g187147-d6696313-Reviews-Ornicom-Paris_Ile_de_France.html
Circuits,Interkultur - Day Tours,Visites de la ville,59,https://www.tripadvisor.fr/Attraction_Review-g187147-d8295548-Reviews-Interkultur_Day_Tours-Paris_Ile_de_France.html
Circuits,Paris Canal,"Croisières, Locations de bateaux",427,https://www.tripadvisor.fr/Attraction_Review-g187147-d2038978-Reviews-Paris_Canal-Paris_Ile_de_France.html
Circuits,Marin d'Eau Douce,Locations de bateaux,632,https://www.tripadvisor.fr/Attraction_Review-g187147-d7000992-Reviews-Marin_d_Eau_Douce-Paris_Ile_de_France.html
Circuits,Rent & Go,Visites nocturnes,92,https://www.tripadvisor.fr/Attraction_Review-g187147-d7802702-Reviews-Rent_Go-Paris_Ile_de_France.html
Circuits,Paris Safari,"Excursions à vélo, Visites guidées",116,https://www.tripadvisor.fr/Attraction_Review-g187147-d10193001-Reviews-Paris_Safari-Paris_Ile_de_France.html
Circuits,Mavisite.paris,"Visites de la ville, Visites privées",Mite.paris,https://www.tripadvisor.fr/Attraction_Review-g187147-d12258075-Reviews-Mavisite_paris-Paris_Ile_de_France.html
Circuits,My Paris River,Croisières,79,https://www.tripadvisor.fr/Attraction_Review-g187147-d6656639-Reviews-My_Paris_River-Paris_Ile_de_France.html
Circuits,Stadtrundgang Paris,Visites guidées,62,https://www.tripadvisor.fr/Attraction_Review-g187147-d4942525-Reviews-Stadtrundgang_Paris-Paris_Ile_de_France.html
Circuits,Nekovisit,"Visites de la ville, Visites privées",64,https://www.tripadvisor.fr/Attraction_Review-g187147-d7183886-Reviews-Nekovisit-Paris_Ile_de_France.html
Circuits,Another Paris,,81,https://www.tripadvisor.fr/Attraction_Review-g187147-d3827005-Reviews-Another_Paris-Paris_Ile_de_France.html
Circuits,6clo,Visites de la ville,47,https://www.tripadvisor.fr/Attraction_Review-g187147-d10781846-Reviews-6clo-Paris_Ile_de_France.html
Circuits,PariSmile,Visites culturelles,59,https://www.tripadvisor.fr/Attraction_Review-g187147-d6779466-Reviews-PariSmile-Paris_Ile_de_France.html
Circuits,Cultival,Visites guidées,1058,https://www.tripadvisor.fr/Attraction_Review-g187147-d3948577-Reviews-Cultival-Paris_Ile_de_France.html
Circuits,Paris Visites,Visites de la ville,47,https://www.tripadvisor.fr/Attraction_Review-g187147-d8660733-Reviews-Paris_Visites-Paris_Ile_de_France.html
Circuits,J&L Paris,"Visites culturelles, Visites guidées",52,https://www.tripadvisor.fr/Attraction_Review-g187147-d8737904-Reviews-J_L_Paris-Paris_Ile_de_France.html
Circuits,Experience Paris - Vintage 2CV Tours,"Visites de la ville, Visites privées",65,https://www.tripadvisor.fr/Attraction_Review-g187147-d1890678-Reviews-Experience_Paris_Vintage_2CV_Tours-Paris_Ile_de_France.html
Circuits,Vedettes du Pont Neuf,"Visites de la ville, Croisières",1509,https://www.tripadvisor.fr/Attraction_Review-g187147-d2274303-Reviews-Vedettes_du_Pont_Neuf-Paris_Ile_de_France.html
Circuits,Fresh Street Art Tour Paris,Visites culturelles,49,https://www.tripadvisor.fr/Attraction_Review-g187147-d9817881-Reviews-Fresh_Street_Art_Tour_Paris-Paris_Ile_de_France.html
Circuits,Paris Always Walk,,71,https://www.tripadvisor.fr/Attraction_Review-g187147-d10216154-Reviews-Paris_Always_Walk-Paris_Ile_de_France.html
Circuits,Canauxrama,"Visites guidées, Croisières",370,https://www.tripadvisor.fr/Attraction_Review-g187147-d241573-Reviews-Canauxrama-Paris_Ile_de_France.html
Circuits,With Love From Paris Tours,"Visites privées, Visites de la ville",44,https://www.tripadvisor.fr/Attraction_Review-g187147-d9585630-Reviews-With_Love_From_Paris_Tours-Paris_Ile_de_France.html
Circuits,Fabulous You Paris,Visites de la ville,70,https://www.tripadvisor.fr/Attraction_Review-g187147-d7218606-Reviews-Fabulous_You_Paris-Paris_Ile_de_France.html
Circuits,Paris Webservices Day Tours,Visites guidées,147,https://www.tripadvisor.fr/Attraction_Review-g187147-d2572797-Reviews-Paris_Webservices_Day_Tours-Paris_Ile_de_France.html
Circuits,La Marina de Paris Seine River Cruise,Croisières,533,https://www.tripadvisor.fr/Attraction_Review-g187147-d7154430-Reviews-La_Marina_de_Paris_Seine_River_Cruise-Paris_Ile_de_France.html
Circuits,Secrets of Paris Private Tours,"Visites privées, Visites culturelles",72,https://www.tripadvisor.fr/Attraction_Review-g187147-d1957397-Reviews-Secrets_of_Paris_Private_Tours-Paris_Ile_de_France.html
Circuits,Wine Passport,"Visites culturelles, Visites privées",54,https://www.tripadvisor.fr/Attraction_Review-g187147-d10392686-Reviews-Wine_Passport-Paris_Ile_de_France.html
Circuits,Paris Tours By Genevieve,Visites privées,50,https://www.tripadvisor.fr/Attraction_Review-g187147-d3966153-Reviews-Paris_Tours_By_Genevieve-Paris_Ile_de_France.html
Circuits,Xl Tour,Visites culturelles,63,https://www.tripadvisor.fr/Attraction_Review-g187147-d12621635-Reviews-Xl_Tour-Paris_Ile_de_France.html
Circuits,Tripshooter Private Tours,Visites privées,53,https://www.tripadvisor.fr/Attraction_Review-g187147-d5992150-Reviews-Tripshooter_Private_Tours-Paris_Ile_de_France.html
Circuits,Bateaux Parisiens,"Croisières, Visites guidées",3861,https://www.tripadvisor.fr/Attraction_Review-g187147-d654725-Reviews-Bateaux_Parisiens-Paris_Ile_de_France.html
Circuits,Cyclopolitain,Excursions à vélo,60,https://www.tripadvisor.fr/Attraction_Review-g187147-d7338825-Reviews-Cyclopolitain-Paris_Ile_de_France.html
Circuits,Burgundia Tour,Visites culturelles,53,https://www.tripadvisor.fr/Attraction_Review-g187147-d8134390-Reviews-Burgundia_Tour-Paris_Ile_de_France.html
Circuits,Don Juan II,Croisières,168,https://www.tripadvisor.fr/Attraction_Review-g187147-d10432669-Reviews-Don_Juan_II-Paris_Ile_de_France.html
Circuits,Paris à vélo c'est Sympa,Excursions à vélo,57,https://www.tripadvisor.fr/Attraction_Review-g187147-d189701-Reviews-Paris_A_Velo_C_est_Sympa-Paris_Ile_de_France.html
Circuits,Le Food Trip,Circuits gourmands,67,https://www.tripadvisor.fr/Attraction_Review-g187147-d8650322-Reviews-Le_Food_Trip-Paris_Ile_de_France.html
Circuits,The Paris Guy,Visites culturelles,35,https://www.tripadvisor.fr/Attraction_Review-g187147-d13530607-Reviews-The_Paris_Guy-Paris_Ile_de_France.html
Circuits,Layover In Paris,"Visites de la ville, Visites guidées",53,https://www.tripadvisor.fr/Attraction_Review-g187147-d7033640-Reviews-Layover_In_Paris-Paris_Ile_de_France.html
Circuits,Bateaux Mouches,"Croisières, Visites guidées",3124,https://www.tripadvisor.fr/Attraction_Review-g187147-d188678-Reviews-Bateaux_Mouches-Paris_Ile_de_France.html
Circuits,ParisByM,"Visites guidées, Visites de la ville",42,https://www.tripadvisor.fr/Attraction_Review-g187147-d7113490-Reviews-ParisByM-Paris_Ile_de_France.html
Circuits,Plongéquilibre,Plongée sous-marine et avec tuba,93,https://www.tripadvisor.fr/Attraction_Review-g187147-d7650635-Reviews-Plongequilibre-Paris_Ile_de_France.html
Circuits,Batobus,,2076,https://www.tripadvisor.fr/Attraction_Review-g187147-d523179-Reviews-Batobus-Paris_Ile_de_France.html
Circuits,Taste Your France,"Circuits gourmands, Cours de cuisine",42,https://www.tripadvisor.fr/Attraction_Review-g187147-d7698005-Reviews-Taste_Your_France-Paris_Ile_de_France.html
Circuits,Experience Paris - Champagne Region Tours,Visites privées,74,https://www.tripadvisor.fr/Attraction_Review-g187147-d2299834-Reviews-Experience_Paris_Champagne_Region_Tours-Paris_Ile_de_France.html
Circuits,Alex the Tour Guide Tours,Visites privées,52,https://www.tripadvisor.fr/Attraction_Review-g187147-d3808079-Reviews-Alex_the_Tour_Guide_Tours-Paris_Ile_de_France.html
Circuits,Free Tour Gratis,Visites pédestres,35,https://www.tripadvisor.fr/Attraction_Review-g187147-d8830210-Reviews-Free_Tour_Gratis-Paris_Ile_de_France.html
Circuits,Planning Paris,"Visites privées, Visites de la ville",34,https://www.tripadvisor.fr/Attraction_Review-g187147-d12487008-Reviews-Planning_Paris-Paris_Ile_de_France.html
Circuits,Street Art Paris,"Visites pédestres, Visites privées",125,https://www.tripadvisor.fr/Attraction_Review-g187147-d2663642-Reviews-Street_Art_Paris-Paris_Ile_de_France.html
Circuits,Private Guide Paris,Visites pédestres,34,https://www.tripadvisor.fr/Attraction_Review-g187147-d9808519-Reviews-Private_Guide_Paris-Paris_Ile_de_France.html
Circuits,Big Bus Paris,Visites en bus,3089,https://www.tripadvisor.fr/Attraction_Review-g187147-d1008070-Reviews-Big_Bus_Paris-Paris_Ile_de_France.html
Circuits,Guides à Paris Galina Masson,Visites de la ville,32,https://www.tripadvisor.fr/Attraction_Review-g187147-d12698906-Reviews-Guide_In_Paris_Galina_Masson-Paris_Ile_de_France.html
Circuits,FM Tour France,"Visites de la ville, Visites guidées",33,https://www.tripadvisor.fr/Attraction_Review-g187147-d11797840-Reviews-FM_Tour_France-Paris_Ile_de_France.html
Circuits,French Mystique Bike Tours,Excursions à vélo,76,https://www.tripadvisor.fr/Attraction_Review-g187147-d2297154-Reviews-French_Mystique_Bike_Tours-Paris_Ile_de_France.html
Circuits,Delicious Paris,Circuits gourmands,38,https://www.tripadvisor.fr/Attraction_Review-g187147-d6509922-Reviews-Delicious_Paris-Paris_Ile_de_France.html
Circuits,Paris Photo Tours,Visites privées,39,https://www.tripadvisor.fr/Attraction_Review-g187147-d4921988-Reviews-Paris_Photo_Tours-Paris_Ile_de_France.html
Circuits,Tours For Foodies,"Cours de cuisine, Circuits gourmands",68,https://www.tripadvisor.fr/Attraction_Review-g187147-d2072014-Reviews-Tours_For_Foodies-Paris_Ile_de_France.html
Circuits,PICmyTRIP Paris,Circuits photographiques,36,https://www.tripadvisor.fr/Attraction_Review-g187147-d7201356-Reviews-PICmyTRIP_Paris-Paris_Ile_de_France.html
Circuits,Paris Polaroid Tours,"Visites culturelles, Visites guidées",33,https://www.tripadvisor.fr/Attraction_Review-g187147-d10266202-Reviews-Paris_Polaroid_Tours-Paris_Ile_de_France.html
Circuits,River Limousine,"Visites privées, Taxis et navettes",49,https://www.tripadvisor.fr/Attraction_Review-g187147-d2087114-Reviews-River_Limousine-Paris_Ile_de_France.html
Circuits,Ballon de Paris Generali,Promenades en montgolfière,164,https://www.tripadvisor.fr/Attraction_Review-g187147-d4317981-Reviews-Generali-Paris_Ile_de_France.html
Circuits,Family Twist - Tours,Visites privées,46,https://www.tripadvisor.fr/Attraction_Review-g187147-d5321010-Reviews-Family_Twist_Tours-Paris_Ile_de_France.html
Circuits,Vedettes de Paris,"Visites culturelles, Croisières",616,https://www.tripadvisor.fr/Attraction_Review-g187147-d844427-Reviews-Vedettes_de_Paris-Paris_Ile_de_France.html
Circuits,Holland Bikes,Excursions à vélo,134,https://www.tripadvisor.fr/Attraction_Review-g187147-d4408925-Reviews-Holland_Bikes-Paris_Ile_de_France.html
Circuits,Ride'n'smile,"Visites de la ville, Visites à moto",31,https://www.tripadvisor.fr/Attraction_Review-g187147-d10389692-Reviews-Ride_n_Smile-Paris_Ile_de_France.html
Circuits,Buendia Tours,Visites de la ville,92,https://www.tripadvisor.fr/Attraction_Review-g187147-d12088069-Reviews-Buendia_Tours-Paris_Ile_de_France.html
Circuits,The Wine Truck Paris,Oenotourisme ,28,https://www.tripadvisor.fr/Attraction_Review-g187147-d12550123-Reviews-The_Wine_Truck_Paris-Paris_Ile_de_France.html
Circuits,The Spirit of Montmartre Walking Tour,Visites pédestres,92,https://www.tripadvisor.fr/Attraction_Review-g187147-d2083337-Reviews-The_Spirit_of_Montmartre_Walking_Tour-Paris_Ile_de_France.html
Circuits,PARISCityVISION,"Visites culturelles, Visites guidées",7679,https://www.tripadvisor.fr/Attraction_Review-g187147-d667302-Reviews-PARISCityVISION-Paris_Ile_de_France.html
Circuits,Le Bon Paris,Circuits gourmands,28,https://www.tripadvisor.fr/Attraction_Review-g187147-d12194106-Reviews-Le_Bon_Paris_Tours-Paris_Ile_de_France.html
Circuits,Experience Paris - Private Horse and Carriage Rides,Visites privées,66,https://www.tripadvisor.fr/Attraction_Review-g187147-d2621327-Reviews-Experience_Paris_Private_Horse_and_Carriage_Rides-Paris_Ile_de_France.html
Circuits,Discover Walks,Visites pédestres,34,https://www.tripadvisor.fr/Attraction_Review-g187147-d7684939-Reviews-Discover_Walks-Paris_Ile_de_France.html
Circuits,Le Vrai Paris Tours,Visites privées,34,https://www.tripadvisor.fr/Attraction_Review-g187147-d3376796-Reviews-Le_Vrai_Paris_Tours-Paris_Ile_de_France.html
Circuits,Paris on the Edge,Cours de cuisine,32,https://www.tripadvisor.fr/Attraction_Review-g187147-d7140178-Reviews-Paris_on_the_Edge-Paris_Ile_de_France.html
Circuits,"Paris 'Musts' - City Tour, River Seine Cruise and Lunch",Croisières,160,https://www.tripadvisor.fr/Attraction_Review-g187147-d775828-Reviews-Paris_Musts_City_Tour_River_Seine_Cruise_and_Lunch-Paris_Ile_de_France.html
Circuits,Comme des Parisiens,Visites guidées,60,https://www.tripadvisor.fr/Attraction_Review-g187147-d1721797-Reviews-Comme_des_Parisiens-Paris_Ile_de_France.html
Circuits,Paris d'Enfants,Visites guidées,56,https://www.tripadvisor.fr/Attraction_Review-g187147-d7240806-Reviews-Paris_d_Enfants-Paris_Ile_de_France.html
Circuits,City Smart Way,,27,https://www.tripadvisor.fr/Attraction_Review-g187147-d12664357-Reviews-City_Smart_Way-Paris_Ile_de_France.html
Circuits,ARTernative Paris,Visites de la ville,29,https://www.tripadvisor.fr/Attraction_Review-g187147-d9604055-Reviews-ARTernative_Paris-Paris_Ile_de_France.html
Circuits,SeeWay Tour,Visites en Segway,43,https://www.tripadvisor.fr/Attraction_Review-g187147-d12358570-Reviews-SeeWay_Tour-Paris_Ile_de_France.html
Circuits,Passport To Paris Tours,Visites privées,31,https://www.tripadvisor.fr/Attraction_Review-g187147-d3749862-Reviews-Passport_To_Paris_Tours-Paris_Ile_de_France.html
Circuits,France Tourisme - Daily tour,Visites guidées,1018,https://www.tripadvisor.fr/Attraction_Review-g187147-d1549625-Reviews-France_Tourisme_Daily_tour-Paris_Ile_de_France.html
Circuits,Le Paris Noir - Tours Privés,"Visites privées, Visites pédestres",27,https://www.tripadvisor.fr/Attraction_Review-g187147-d4440931-Reviews-Le_Paris_Noir_Tours_Prives-Paris_Ile_de_France.html
Circuits,Metropole Voyage,"Visites pédestres, Visites privées",24,https://www.tripadvisor.fr/Attraction_Review-g187147-d11950981-Reviews-Metropole_Voyage-Paris_Ile_de_France.html
Circuits,Mon Cours Photo,Visites privées,77,https://www.tripadvisor.fr/Attraction_Review-g187147-d2018810-Reviews-Mon_Cours_Photo-Paris_Ile_de_France.html
Circuits,ToursByLocals,Visites culturelles,21,https://www.tripadvisor.fr/Attraction_Review-g187147-d14058881-Reviews-ToursByLocals-Paris_Ile_de_France.html
Circuits,Flynet Travel,Visites de la ville,53,https://www.tripadvisor.fr/Attraction_Review-g187147-d4005239-Reviews-Flynet_Travel-Paris_Ile_de_France.html
Circuits,France by Marina Tours,Visites privées,27,https://www.tripadvisor.fr/Attraction_Review-g187147-d6881599-Reviews-France_by_Marina_Tours-Paris_Ile_de_France.html
Circuits,Les Visites Particulières Private Tours,Visites privées,31,https://www.tripadvisor.fr/Attraction_Review-g187147-d4062940-Reviews-Les_Visites_Particulieres_Private_Tours-Paris_Ile_de_France.html
Circuits,Paris Chocolate and Pastry Food Tour,Circuits gourmands,71,https://www.tripadvisor.fr/Attraction_Review-g187147-d2304659-Reviews-Paris_Chocolate_and_Pastry_Food_Tour-Paris_Ile_de_France.html
Circuits,Experience Paris - Guided City Tour,Visites privées,73,https://www.tripadvisor.fr/Attraction_Review-g187147-d1800359-Reviews-Experience_Paris_Guided_City_Tour-Paris_Ile_de_France.html
Circuits,Go Bike Paris,Excursions à vélo,23,https://www.tripadvisor.fr/Attraction_Review-g187147-d10719797-Reviews-Go_Bike_Paris-Paris_Ile_de_France.html
Circuits,Logic Way Segway Tours,Visites en Segway,48,https://www.tripadvisor.fr/Attraction_Review-g187147-d2478231-Reviews-Logic_Way_Segway_Tours-Paris_Ile_de_France.html
Circuits,The Little Train of Montmartre (Le Petit Train de Montmartre),Visites en train,242,https://www.tripadvisor.fr/Attraction_Review-g187147-d1135231-Reviews-The_Little_Train_of_Montmartre_Le_Petit_Train_de_Montmartre-Paris_Ile_de_France.html
Circuits,FredsWalks,Visites de la ville,26,https://www.tripadvisor.fr/Attraction_Review-g187147-d10381189-Reviews-FredsWalks-Paris_Ile_de_France.html
Circuits,Paris Celebrity Tours,Circuits shopping,44,https://www.tripadvisor.fr/Attraction_Review-g187147-d7296414-Reviews-Paris_Celebrity_Tours-Paris_Ile_de_France.html
Circuits,Paris Panoramic Tour,Visites en bus,54,https://www.tripadvisor.fr/Attraction_Review-g187147-d3735381-Reviews-Paris_Panoramic_Tour-Paris_Ile_de_France.html
Circuits,Mobilboard Paris-Invalides,Visites en Segway,63,https://www.tripadvisor.fr/Attraction_Review-g187147-d2287219-Reviews-Mobilboard_Segway_Tours-Paris_Ile_de_France.html
Circuits,Succulent-Paris,"Circuits gourmands, Cours de cuisine",25,https://www.tripadvisor.fr/Attraction_Review-g187147-d10259227-Reviews-Succulent_Paris-Paris_Ile_de_France.html
Circuits,Paris ZigZag,,44,https://www.tripadvisor.fr/Attraction_Review-g187147-d8693803-Reviews-Paris_ZigZag-Paris_Ile_de_France.html
Circuits,Paris-Sensacional -Day Tours,Visites culturelles,24,https://www.tripadvisor.fr/Attraction_Review-g187147-d8766147-Reviews-Paris_Sensacional-Paris_Ile_de_France.html
Circuits,Walking Tours of Paris,Visites pédestres,24,https://www.tripadvisor.fr/Attraction_Review-g187147-d6922889-Reviews-Walking_Tours_of_Paris-Paris_Ile_de_France.html
Circuits,Paris Private Guides,Visites privées,38,https://www.tripadvisor.fr/Attraction_Review-g187147-d1829579-Reviews-Paris_Private_Guides-Paris_Ile_de_France.html
Circuits,Paris With Ted Tours,Visites privées,24,https://www.tripadvisor.fr/Attraction_Review-g187147-d4191552-Reviews-Paris_With_Ted_Tours-Paris_Ile_de_France.html
Circuits,Vip Turismo Paris,Visites privées,96,https://www.tripadvisor.fr/Attraction_Review-g187147-d8489759-Reviews-Vip_Turismo_Paris-Paris_Ile_de_France.html
Circuits,History Bus,"Visites guidées, Visites en bus",153,https://www.tripadvisor.fr/Attraction_Review-g187147-d7305669-Reviews-History_Bus-Paris_Ile_de_France.html
Circuits,Walking The Spirit Tours of Black Paris Day Tours,"Visites privées, Visites pédestres",30,https://www.tripadvisor.fr/Attraction_Review-g187147-d3587637-Reviews-Walking_The_Spirit_Tours_of_Black_Paris_Day_Tours-Paris_Ile_de_France.html
Circuits,La Tour Jean Sans Peur,,55,https://www.tripadvisor.fr/Attraction_Review-g187147-d591429-Reviews-La_Tour_Jean_Sans_Peur-Paris_Ile_de_France.html
Circuits,Ciné-Balade,Visites culturelles,24,https://www.tripadvisor.fr/Attraction_Review-g187147-d4545186-Reviews-Cine_Balade-Paris_Ile_de_France.html
Circuits,Paris Greeters,Visites pédestres,33,https://www.tripadvisor.fr/Attraction_Review-g187147-d11668977-Reviews-Paris_Greeters-Paris_Ile_de_France.html
Circuits,Rendez-vous Parfum,Visites privées,19,https://www.tripadvisor.fr/Attraction_Review-g187147-d12326208-Reviews-Rendez_vous_Parfum-Paris_Ile_de_France.html
Circuits,Intripid,Visites de la ville,39,https://www.tripadvisor.fr/Attraction_Review-g187147-d12118473-Reviews-Intripid-Paris_Ile_de_France.html
Circuits,La Dernière Goutte,Oenotourisme ,21,https://www.tripadvisor.fr/Attraction_Review-g187147-d9736493-Reviews-La_Derniere_Goutte-Paris_Ile_de_France.html
Circuits,Elisa Jehanno Tour Guide,"Visites nocturnes, Visites pédestres",18,https://www.tripadvisor.fr/Attraction_Review-g187147-d11838795-Reviews-Elisa_Jehanno_Tour_Guide-Paris_Ile_de_France.html
Circuits,L'Enigme des Passages Couverts,Visites pédestres,31,https://www.tripadvisor.fr/Attraction_Review-g187147-d2699434-Reviews-L_Enigme_des_Passages_Couverts-Paris_Ile_de_France.html
Circuits,Paris Shopping Tour,Circuits shopping,22,https://www.tripadvisor.fr/Attraction_Review-g187147-d8008292-Reviews-Paris_Shopping_Tour-Paris_Ile_de_France.html
Circuits,Joanna's Fun & Friendly Private Tours of Paris,"Visites pédestres, Cours de cuisine",21,https://www.tripadvisor.fr/Attraction_Review-g187147-d10306693-Reviews-Joanna_s_Fun_Friendly_Private_Tours_of_Paris-Paris_Ile_de_France.html
Circuits,Chinatown avec Thuy,Visites culturelles,18,https://www.tripadvisor.fr/Attraction_Review-g187147-d10266198-Reviews-Chinatown_avec_Thuy-Paris_Ile_de_France.html
Circuits,The Gay Locals,Visites pédestres,31,https://www.tripadvisor.fr/Attraction_Review-g187147-d7646978-Reviews-The_Gay_Locals-Paris_Ile_de_France.html
Circuits,Rollers & Coquillages,Visites de la ville,25,https://www.tripadvisor.fr/Attraction_Review-g187147-d188875-Reviews-Rollers_Coquillages-Paris_Ile_de_France.html
Circuits,Cox in the City,Visites nocturnes,23,https://www.tripadvisor.fr/Attraction_Review-g187147-d8064593-Reviews-Cox_in_the_City-Paris_Ile_de_France.html
Circuits,BeTogether Tours,Visites culturelles,18,https://www.tripadvisor.fr/Attraction_Review-g187147-d13656530-Reviews-BeTogether_Tours-Paris_Ile_de_France.html
Circuits,Les Balades de Lorenzo,Visites culturelles,18,https://www.tripadvisor.fr/Attraction_Review-g187147-d10000645-Reviews-Les_Balades_de_Lorenzo-Paris_Ile_de_France.html
Circuits,Cyclo-Cafe Paris,Excursions à vélo,36,https://www.tripadvisor.fr/Attraction_Review-g187147-d7156340-Reviews-Cyclo_Cafe_Paris-Paris_Ile_de_France.html
Circuits,L'Echappée Bière,Dégustations de bières,35,https://www.tripadvisor.fr/Attraction_Review-g187147-d8292259-Reviews-L_Echappee_Biere-Paris_Ile_de_France.html
Circuits,City Spirits,"Visites privées, Visites de la ville",21,https://www.tripadvisor.fr/Attraction_Review-g187147-d9719047-Reviews-City_Spirits-Paris_Ile_de_France.html
Circuits,AmericanConcierge,Excursions de plusieurs jours,18,https://www.tripadvisor.fr/Attraction_Review-g187147-d8630421-Reviews-AmericanConcierge-Paris_Ile_de_France.html
Circuits,La Croisière Enchantée,Visites guidées,47,https://www.tripadvisor.fr/Attraction_Review-g187147-d245067-Reviews-La_Croisiere_Enchantee-Paris_Ile_de_France.html
Circuits,Aeon Tours,Visites guidées,219,https://www.tripadvisor.fr/Attraction_Review-g187147-d1122412-Reviews-Aeon_Tours-Paris_Ile_de_France.html
Circuits,Montmartre Free Tours,Visites pédestres,38,https://www.tripadvisor.fr/Attraction_Review-g187147-d3826799-Reviews-Montmartre_Free_Tours-Paris_Ile_de_France.html
Circuits,Marina de Paris,Croisières,250,https://www.tripadvisor.fr/Attraction_Review-g187147-d3587680-Reviews-Marina_de_Paris-Paris_Ile_de_France.html
Circuits,Go-SelfTours,Visites guidées,44,https://www.tripadvisor.fr/Attraction_Review-g187147-d7108037-Reviews-Go_SelfTours-Paris_Ile_de_France.html
Circuits,Dicas de Paris,Taxis et navettes,67,https://www.tripadvisor.fr/Attraction_Review-g187147-d10408945-Reviews-Dicas_de_Paris-Paris_Ile_de_France.html
Circuits,Rue Amandine,Visites privées,16,https://www.tripadvisor.fr/Attraction_Review-g187147-d10150189-Reviews-Rue_Amandine-Paris_Ile_de_France.html
Circuits,Paris en Scène,Croisières,1201,https://www.tripadvisor.fr/Attraction_Review-g187147-d1942367-Reviews-Paris_en_Scene-Paris_Ile_de_France.html
Circuits,The Photo Academy - Day Classes,Cours et ateliers,15,https://www.tripadvisor.fr/Attraction_Review-g187147-d7699932-Reviews-The_Photo_Academy_Day_Classes-Paris_Ile_de_France.html
Circuits,Easy Versailles Touring Private Tours,Visites privées,62,https://www.tripadvisor.fr/Attraction_Review-g187147-d4922121-Reviews-Easy_Versailles_Touring_Private_Tours-Paris_Ile_de_France.html
Circuits,Sandy Paris Tours,Excursions à la journée,17,https://www.tripadvisor.fr/Attraction_Review-g187147-d2421588-Reviews-Sandy_Paris_Tours-Paris_Ile_de_France.html
Circuits,Normandy Melody,,15,https://www.tripadvisor.fr/Attraction_Review-g187147-d9777970-Reviews-Normandy_Melody-Paris_Ile_de_France.html
Circuits,Girl Meets Glass,Oenotourisme ,15,https://www.tripadvisor.fr/Attraction_Review-g187147-d10729128-Reviews-Girl_Meets_Glass-Paris_Ile_de_France.html
Circuits,Photo Tours of Paris,Visites guidées,63,https://www.tripadvisor.fr/Attraction_Review-g187147-d1909485-Reviews-Photo_Tours_of_Paris-Paris_Ile_de_France.html
Circuits,Paris as you Please,Visites de la ville,17,https://www.tripadvisor.fr/Attraction_Review-g187147-d8757742-Reviews-Paris_as_you_Please-Paris_Ile_de_France.html
Circuits,Photo Perfect Paris,Circuits photographiques,30,https://www.tripadvisor.fr/Attraction_Review-g187147-d2062180-Reviews-Photo_Perfect_Paris-Paris_Ile_de_France.html
Circuits,Napoleon Tours,"Visites guidées, Visites privées",34,https://www.tripadvisor.fr/Attraction_Review-g187147-d2098562-Reviews-Napoleon_Tours-Paris_Ile_de_France.html
Circuits,Paris by Night Illuminations bus tour,"Visites en bus, Visites nocturnes",101,https://www.tripadvisor.fr/Attraction_Review-g187147-d1594653-Reviews-Paris_by_Night_Illuminations_bus_tour-Paris_Ile_de_France.html
Circuits,Top Paris Transfer,"Taxis et navettes, Visites guidées",24,https://www.tripadvisor.fr/Attraction_Review-g187147-d9997494-Reviews-Top_Paris_Transfer-Paris_Ile_de_France.html
Circuits,Visit the Hidden Paris,Visites de la ville,14,https://www.tripadvisor.fr/Attraction_Review-g187147-d11702621-Reviews-Visit_the_Hidden_Paris-Paris_Ile_de_France.html
Circuits,Circle Paris,Visites de la ville,19,https://www.tripadvisor.fr/Attraction_Review-g187147-d6438673-Reviews-Circle_Paris-Paris_Ile_de_France.html
Circuits,Versailles Express,Visites culturelles,52,https://www.tripadvisor.fr/Attraction_Review-g187147-d7622927-Reviews-Versailles_Express-Paris_Ile_de_France.html
Circuits,Pole Walks,Visites pédestres,23,https://www.tripadvisor.fr/Attraction_Review-g187147-d4116454-Reviews-Pole_Walks-Paris_Ile_de_France.html
